Date,Hour,Offense_Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,Number_offenses
1/18/16,21,Aggravated Assault,1.70E+21,"Hotel, Motel, Inn, Etc.",7600-7699,BEECHNUT,ST,-,1
1/18/16,19,Theft,1.70E+31,Restaurant or Cafeteria Parking Lot,11800-11899,WILCREST,DR,S,1
1/18/16,0,Auto Theft,1.70E+31,Hotel or Motel Parking Lot,11900-11999,SAM HOUSTON,PKWY,S,1
1/18/16,10,Theft,1.70E+31,Residence or House,10100-10199,THURLEIGH,-,-,1
1/18/16,9,Burglary,1.70E+41,Residence or House,8100-8199,ERIN,CT,-,1
1/18/16,9,Theft,1.70E+41,Residence or House,8000-8099,OAKINGTON,DR,-,1
1/18/16,18,Theft,1.70E+41,Department or Discount Store,11100-11199,FONDREN,RD,-,1
1/18/16,17,Burglary,1.70E+41,Residence or House,7900-7999,CANDLEGREEN,-,-,1
1/18/16,15,Theft,1.70E+41,Apartment Parking Lot,12500-12599,SANDPIPER,DR,-,1
1/18/16,12,Aggravated Assault,1.70E+41,Restaurant or Cafeteria Parking Lot,11300-11399,FONDREN,RD,-,1
1/18/16,11,Theft,1.70E+41,Residence or House,7800-7899,ROLLINGBROOK,DR,-,1
1/18/16,14,Theft,18F20,Department or Discount Store,5000-5099,WESTHEIMER,RD,-,1
1/18/16,15,Theft,18F20,Specialty Store (Non-Specific),5000-5099,WESTHEIMER,RD,-,1
1/18/16,16,Theft,18F20,Department or Discount Store,5000-5099,WESTHEIMER,RD,-,1
1/18/16,16,Theft,18F20,Mall Common Area,5000-5099,WESTHEIMER,RD,-,1
1/18/16,4,Theft,18F30,Bar or Night Club,6200-6299,RICHMOND,AVE,-,1
1/18/16,19,Aggravated Assault,18F30,Service or Gas Station,5600-5699,SOUTHWEST,FWY,-,1
1/18/16,11,Theft,18F30,Restaurant or Cafeteria Parking Lot,5700-5799,WESTHEIMER,RD,-,1
1/18/16,12,Auto Theft,18F30,"Road, Street, or Sidewalk",2700-2799,BRIARGROVE,DR,-,1
1/18/16,8,Auto Theft,18F40,Commercial Parking Lot or Garage,8400-8499,WESTHEIMER,RD,-,1
1/18/16,6,Robbery,18F50,Strip Business Center Parking Lot,7700-7799,WESTPARK,DR,-,1
1/18/16,19,Burglary,18F50,Apartment,5800-5899,FONDREN,RD,-,1
1/18/16,18,Theft,18F50,Other Parking Lot,2500-2599,WEST LOOP,-,-,1
1/18/16,16,Auto Theft,18F50,Mall Parking Lot,7500-7599,BELLAIRE,BLVD,-,1
1/18/16,14,Theft,18F60,Apartment Parking Lot,9000-9099,BEECHNUT,ST,-,1
1/18/16,9,Theft,18F60,Residence or House,7700-7799,HIAWATHA,DR,-,1
1/18/16,7,Robbery,19G10,Apartment Parking Lot,7900-7999,CORPORATE,DR,-,1
1/18/16,21,Theft,19G10,Department or Discount Store,9400-9499,SAM HOUSTON,PKWY,W,1
1/18/16,23,Theft,19G10,Grocery Store or Supermarket Parking Lot,9400-9499,SAM HOUSTON,PKWY,W,1
1/18/16,15,Theft,19G10,Grocery Store or Supermarket,9400-9499,SAM HOUSTON,PKWY,W,1
1/18/16,12,Theft,19G10,Strip Business Center Parking Lot,8300-8399,SAM HOUSTON,PKWY,W,1
1/18/16,15,Theft,19G20,Strip Business Center Parking Lot,11100-11199,BELLAIRE,BLVD,-,1
1/18/16,17,Theft,19G20,Grocery Store or Supermarket Parking Lot,11200-11299,BELLAIRE,BLVD,-,1
1/18/16,20,Robbery,19G20,Apartment Parking Lot,4700-4799,KIRKWOOD,DR,S,1
1/18/16,19,Theft,19G30,"Road, Street, or Sidewalk",6600-6699,WESTWICK,DR,-,1
1/18/16,19,Theft,19G30,"Road, Street, or Sidewalk",7500-7599,DAIRY ASHFORD,-,S,1
1/18/16,20,Theft,19G30,Drug Store or Medical Supply,13100-13199,BELLAIRE,BLVD,-,1
1/18/16,12,Auto Theft,19G30,Apartment Parking Lot,7500-7599,COOK,RD,-,1
1/18/16,11,Theft,19G30,Hospital,3600-3699,NORTH MACGREGOR,WAY,-,1
1/18/16,11,Theft,19G40,Apartment Parking Lot,11700-11799,BISSONNET,ST,-,1
1/18/16,16,Robbery,19G50,Apartment Parking Lot,11600-11699,BELLFORT,AVE,-,1
1/18/16,6,Theft,1A10,Commercial Parking Lot or Garage,1800-1899,TRAVIS,-,-,1
1/18/16,9,Burglary,1A10,Construction Site,800-899,AVENIDA DE LAS AMERI,-,-,1
1/18/16,22,Theft,1A10,"Parks and Recreation, Zoo, Swimming Pool",1000-1099,MEMORIAL,DR,-,1
1/18/16,22,Theft,1A10,"Road, Street, or Sidewalk",1500-1599,STERRETT,-,-,1
1/18/16,16,Theft,1A10,Commercial Parking Lot or Garage,1500-1599,POLK,-,-,1
1/18/16,17,Theft,1A10,Commercial Parking Lot or Garage,1500-1599,POLK,-,-,2
1/18/16,20,Theft,1A10,Other Parking Lot,1500-1599,SAN JACINTO,ST,-,1
1/18/16,18,Theft,1A10,Commercial Parking Lot or Garage,1500-1599,POLK,-,-,1
1/18/16,12,Auto Theft,1A10,"Road, Street, or Sidewalk",600-699,SAN JACINTO,ST,N,1
1/18/16,12,Theft,1A10,Commercial Parking Lot or Garage,800-899,CAROLINE,ST,-,1
1/18/16,15,Theft,1A10,"Parks and Recreation, Zoo, Swimming Pool",1500-1599,LA BRANCH,-,-,1
1/18/16,22,Theft,1A20,"Road, Street, or Sidewalk",2400-2499,MORGAN,-,-,1
1/18/16,23,Theft,1A20,Bar or Night Club Parking Lot,2000-2099,WAUGH,DR,-,1
1/18/16,21,Burglary,1A20,Apartment,1500-1599,BAILEY,ST,-,1
1/18/16,10,Theft,1A20,Apartment Parking Lot,2700-2799,MASON,-,-,1
1/18/16,6,Auto Theft,1A30,"Road, Street, or Sidewalk",1900-1999,INDIANA,-,-,1
1/18/16,9,Theft,1A30,"Road, Street, or Sidewalk",1600-1699,CALIFORNIA,-,-,1
1/18/16,8,Burglary,1A30,Commercial Building,1700-1799,SHEPHERD,DR,S,1
1/18/16,22,Theft,1A30,Strip Business Center Parking Lot,2300-2399,ALABAMA,ST,W,1
1/18/16,18,Theft,1A30,Restaurant or Cafeteria Parking Lot,3000-3099,KIRBY,DR,-,1
1/18/16,17,Theft,1A30,Restaurant or Cafeteria Parking Lot,2300-2399,ALABAMA,ST,-,1
1/18/16,22,Aggravated Assault,1A50,"Road, Street, or Sidewalk",4400-4499,WESTHEIMER,RD,-,1
1/18/16,19,Theft,1A50,Restaurant or Cafeteria Parking Lot,3800-3899,SOUTHWEST,FWY,-,1
1/18/16,20,Theft,1A50,Restaurant or Cafeteria Parking Lot,3800-3899,SOUTHWEST,FWY,-,1
1/18/16,9,Theft,1A50,Commercial Parking Lot or Garage,1000-1099,LOOP,-,W,1
1/18/16,19,Theft,20G10,Apartment Parking Lot,9300-9399,TOWN PARK,DR,-,1
1/18/16,16,Auto Theft,20G10,Hotel or Motel Parking Lot,3200-3299,SAM HOUSTON,PKWY,W,1
1/18/16,13,Robbery,20G10,"Road, Street, or Sidewalk",9700-9799,PAGEWOOD,LN,-,1
1/18/16,11,Theft,20G20,Commercial Parking Lot or Garage,1500-1599,CITYWEST,BLVD,-,1
1/18/16,6,Burglary,20G20,Residence or House,10600-10699,TUPPER LAKE,-,-,1
1/18/16,11,Theft,20G30,Apartment Parking Lot,2900-2999,SHADOWBRIAR,DR,-,1
1/18/16,14,Theft,20G30,Restaurant or Cafeteria Parking Lot,11800-11899,WESTHEIMER,RD,-,1
1/18/16,14,Theft,20G30,Grocery Store or Supermarket,2700-2799,KIRKWOOD,DR,S,1
1/18/16,18,Theft,20G30,Department or Discount Store,11700-11799,WESTHEIMER,RD,-,1
1/18/16,11,Theft,20G40,Apartment Parking Lot,2000-2099,BENTWORTH,DR,-,2
1/18/16,9,Theft,20G40,"Road, Street, or Sidewalk",2000-2099,BENTWORTH,DR,-,1
1/18/16,6,Theft,20G40,Apartment Parking Lot,2100-2199,KIRKWOOD,DR,S,1
1/18/16,8,Theft,20G50,Driveway,13400-13499,HAVERSHIRE,LN,-,1
1/18/16,14,Theft,20G50,Clothing Store,300-399,MEMORIAL CITY,WAY,-,1
1/18/16,19,Theft,20G50,Commercial Parking Lot or Garage,800-899,SAM HOUSTON,PKWY,W,1
1/18/16,17,Theft,20G50,Clothing Store,300-399,MEMORIAL CITY,WAY,-,1
1/18/16,17,Theft,20G50,Restaurant or Cafeteria Parking Lot,800-899,TOWN AND COUNTRY,BLVD,-,1
1/18/16,13,Burglary,20G70,"Church, Synagogue, or Temple",3600-3699,OVERTURE,DR,-,1
1/18/16,17,Theft,20G80,Department or Discount Store,800-899,WEST OAKS MALL,-,-,1
1/18/16,20,Theft,20G80,Department or Discount Store,800-899,OAKS MALL,-,W,1
1/18/16,20,Burglary,20G80,Apartment,1700-1799,CRESCENT PLAZA,DR,-,1
1/18/16,9,Theft,21I10,Airport Terminal,2800-2899,TERMINAL,RD,N,1
1/18/16,12,Auto Theft,21I50,Other Parking Lot,17300-17399,PINE CUT,-,-,1
1/18/16,17,Theft,24C10,Miscellaneous Business (Non-Specific),1300-1399,KINGWOOD,DR,-,1
1/18/16,12,Theft,24C20,Apartment Parking Lot,2700-2799,BENS BRANCH,DR,-,1
1/18/16,14,Theft,24C30,"Road, Street, or Sidewalk",3700-3799,ECHO MOUNTAIN,DR,-,1
1/18/16,16,Theft,24C30,Residence or House,6100-6199,ASPEN PASS,DR,-,1
1/18/16,15,Auto Theft,24C50,Other Parking Lot,200-299,NORTHPARK,DR,-,1
1/18/16,10,Theft,24C50,Apartment Parking Lot,23400-23499,US 59,-,N,1
1/18/16,20,Theft,2A10,Convenience Store Parking Lot,1000-1099,QUITMAN,-,-,1
1/18/16,10,Burglary,2A20,"Vacant Single Occ Resd(House,Townhs,Dplex)",1100-1199,24TH,ST,E,2
1/18/16,8,Theft,2A20,"Road, Street, or Sidewalk",300-399,PECORE,ST,-,1
1/18/16,10,Theft,2A30,Office Building,500-599,HEIGHTS,BLVD,-,1
1/18/16,0,Robbery,2A30,"Road, Street, or Sidewalk",1300-1399,WAVERLY,-,-,1
1/18/16,2,Theft,2A30,Restaurant or Cafeteria Parking Lot,2800-2899,WHITE OAK,DR,-,1
1/18/16,11,Robbery,2A30,"Road, Street, or Sidewalk",1200-1299,HERKIMER,-,-,1
1/18/16,15,Theft,2A40,Miscellaneous Business (Non-Specific),2500-2599,SHEARN,ST,-,1
1/18/16,13,Theft,2A50,Apartment Parking Lot,1600-1699,SHEPHERD,DR,-,1
1/18/16,21,Aggravated Assault,2A50,Apartment Parking Lot,200-299,HEIGHTS,BLVD,S,2
1/18/16,22,Theft,2A50,Bar or Night Club Parking Lot,700-799,SHEPHERD,DR,-,1
1/18/16,4,Theft,2A50,Strip Business Center Parking Lot,5000-5099,KATY,FWY,-,1
1/18/16,9,Theft,2A60,Commercial Building,1400-1499,20TH,ST,W,1
1/18/16,8,Auto Theft,3B10,"Road, Street, or Sidewalk",5300-5399,LOST FOREST,DR,-,1
1/18/16,10,Auto Theft,3B10,Hotel or Motel Parking Lot,2500-2599,NORTH LOOP,-,-,1
1/18/16,6,Burglary,3B10,"Factory, Manufacturing, or Industrial",5700-5799,MITCHELLDALE,ST,-,1
1/18/16,21,Theft,3B10,Apartment Parking Lot,5900-5999,PINEMONT,DR,-,1
1/18/16,23,Robbery,3B10,Strip Business Center Parking Lot,4800-4899,DACOMA,ST,-,1
1/18/16,11,Theft,3B10,"Other, Unknown, or Not Listed",4500-4599,BINGLE,RD,-,1
1/18/16,17,Robbery,3B10,Residence or House,6600-6699,43RD,ST,W,1
1/18/16,15,Burglary,3B10,Apartment,6300-6399,MILWEE,ST,-,1
1/18/16,11,Theft,3B30,Restaurant or Cafeteria Parking Lot,2200-2299,43RD,ST,W,1
1/18/16,3,Burglary,3B40,Office Building,5200-5299,NORTH,FWY,-,1
1/18/16,17,Theft,3B40,"Pawn, Resale Shop, or Flea Market",5100-5199,SHEPHERD,DR,N,1
1/18/16,18,Theft,3B40,Auto Repair,700-799,CROSSTIMBERS,-,-,1
1/18/16,19,Robbery,3B50,"Pawn, Resale Shop, or Flea Market",4700-4799,NORTH,FWY,-,1
1/18/16,9,Auto Theft,3B50,Residence or House,800-899,LINDALE,-,-,1
1/18/16,20,Theft,4F10,Apartment,1300-1399,WITTE,RD,-,1
1/18/16,18,Theft,4F10,Grocery Store or Supermarket,9700-9799,KATY,FWY,-,1
1/18/16,19,Theft,4F10,Specialty Store (Non-Specific),1200-1299,CONRAD SAUER,DR,-,1
1/18/16,7,Theft,4F20,Commercial Parking Lot or Garage,11700-11799,CLAY,RD,-,1
1/18/16,12,Theft,5F10,Other Parking Lot,1100-1199,SILBER,RD,-,1
1/18/16,4,Burglary,5F10,Bar or Night Club,7600-7699,KATY,FWY,-,1
1/18/16,9,Burglary,5F20,Residence or House,3000-3099,SOWAY,-,-,1
1/18/16,14,Theft,5F20,Driveway,1700-1799,CROWNOVER,RD,-,1
1/18/16,14,Auto Theft,5F20,Apartment Parking Lot,1500-1599,BIG BEND,DR,-,1
1/18/16,16,Burglary,5F30,Apartment,5900-5999,FLINTLOCK,RD,-,1
1/18/16,9,Theft,5F30,Miscellaneous Business (Non-Specific),10500-10599,OKANELLA,-,-,1
1/18/16,7,Theft,5F30,Strip Business Center Parking Lot,10100-10199,CLAY,RD,-,1
1/18/16,8,Burglary,5F40,Miscellaneous Business (Non-Specific),7600-7699,FM 1960,-,W,1
1/18/16,9,Theft,5F40,Strip Business Center Parking Lot,17700-17799,TOMBALL,PKWY,-,1
1/18/16,9,Burglary,5F40,Miscellaneous Business (Non-Specific),12800-12899,WILLOW CENTRE,-,-,1
1/18/16,6,Burglary,5F40,"Amusement Park, Bowling Alley, Skate Rink",17100-17199,TOMBALL,PKWY,-,1
1/18/16,2,Robbery,5F40,Apartment Parking Lot,18200-18299,SH 249,-,-,1
1/18/16,20,Theft,5F40,Grocery Store or Supermarket Parking Lot,8300-8399,FM 1960,-,W,1
1/18/16,15,Theft,5F40,Department or Discount Store,7900-7999,FM 1960,-,W,1
1/18/16,15,Theft,5F40,Apartment,8100-8199,MILLS,RD,-,1
1/18/16,13,Theft,5F40,Restaurant or Cafeteria Parking Lot,17300-17399,TOMBALL,PKWY,-,1
1/18/16,13,Theft,5F40,Mall Common Area,2000-2099,WILLOWBROOK MALL,-,-,1
1/18/16,13,Theft,6B10,Specialty Store (Non-Specific),5500-5599,NORTH,FWY,-,1
1/18/16,15,Theft,6B10,Service or Gas Station,6200-6299,AIRLINE,DR,-,1
1/18/16,18,Burglary,6B10,Residence or House,100-199,TWICKENHAM,TRL,E,1
1/18/16,21,Auto Theft,6B10,Restaurant or Cafeteria Parking Lot,5500-5599,NORTH,FWY,-,1
1/18/16,11,Auto Theft,6B20,Residence or House,800-899,RITTENHOUSE,-,W,1
1/18/16,11,Theft,6B20,"Pawn, Resale Shop, or Flea Market",5900-5999,SHEPHERD,DR,N,1
1/18/16,11,Burglary,6B30,Residence or House,7300-7399,ATHLONE,DR,-,1
1/18/16,23,Aggravated Assault,6B30,Convenience Store,7700-7799,GULF BANK,RD,W,1
1/18/16,9,Theft,6B30,Apartment Parking Lot,5300-5399,DESOTO,-,-,1
1/18/16,7,Theft,6B30,Apartment Parking Lot,5300-5399,GULF BANK,RD,W,1
1/18/16,7,Theft,6B30,Apartment Parking Lot,7200-7299,T C JESTER,BLVD,-,1
1/18/16,2,Auto Theft,6B30,Apartment Parking Lot,5300-5399,GULF BANK,RD,W,1
1/18/16,2,Robbery,6B40,Other Parking Lot,8400-8499,NORTH,FWY,-,1
1/18/16,11,Burglary,6B40,Residence or House,1500-1599,DIPLOMAT,WAY,-,1
1/18/16,20,Aggravated Assault,6B40,"Road, Street, or Sidewalk",900-999,SAINT CLAIR,-,-,1
1/18/16,13,Theft,6B50,Rental Storage Facility,11800-11899,AIRLINE,DR,-,1
1/18/16,23,Burglary,6B50,Apartment,16200-16299,IMPERIAL VALLEY,DR,-,1
1/18/16,0,Robbery,6B50,Restaurant or Cafeteria Parking Lot,11400-11499,NORTH,FWY,-,1
1/18/16,7,Auto Theft,6B50,Apartment Parking Lot,100-199,GOODSON,DR,-,1
1/18/16,9,Theft,6B60,Barber And Beauty Shops,12300-12399,NORTH,FWY,-,1
1/18/16,2,Burglary,6B60,Apartment,1300-1399,GEARS,RD,-,1
1/18/16,1,Auto Theft,6B60,"Road, Street, or Sidewalk",500-599,GREENS,RD,-,1
1/18/16,22,Robbery,6B60,Apartment Parking Lot,500-599,GREENS,RD,-,1
1/18/16,12,Theft,6B60,Apartment Parking Lot,1100-1199,LANGWICK,DR,-,1
1/18/16,15,Theft,6B60,Mall Parking Lot,12300-12399,NORTH,FWY,-,1
1/18/16,18,Theft,6B60,Other Parking Lot,12900-12999,KUYKENDAHL,RD,-,1
1/18/16,16,Robbery,6B60,"Hotel, Motel, Inn, Etc.",12000-12099,KUYKENDAHL,RD,-,1
1/18/16,2,Robbery,7C20,Convenience Store Parking Lot,2400-2499,KELLEY,-,-,1
1/18/16,3,Burglary,7C20,Convenience Store,4100-4199,CAVALCADE,-,-,1
1/18/16,23,Theft,7C20,Residence or House,2800-2899,GREGG,-,-,1
1/18/16,22,Theft,7C20,Service or Gas Station,3000-3099,COLLINGSWORTH,-,-,1
1/18/16,21,Robbery,7C20,"Road, Street, or Sidewalk",3400-3499,SAYERS,ST,-,1
1/18/16,20,Robbery,7C20,Department or Discount Store,5700-5799,LOCKWOOD,DR,-,1
1/18/16,7,Theft,7C30,"Multi-Plex Home (Duplex,Triplex Etc.)",2600-2699,TIM,-,-,1
1/18/16,14,Robbery,7C40,Convenience Store Parking Lot,10400-10499,JENSEN,DR,-,1
1/18/16,12,Theft,7C50,Residence or House,6000-6099,ROBERTA,LN,-,1
1/18/16,11,Theft,7C50,"Road, Street, or Sidewalk",5600-5699,SCHUTZ,-,-,1
1/18/16,18,Theft,7C50,Hospital,7000-7099,WILL CLAYTON,PKWY,-,1
1/18/16,9,Burglary,7C50,Warehouse,6400-6499,HAWES,RD,-,1
1/18/16,18,Aggravated Assault,8C10,Apartment Parking Lot,9600-9699,HOMESTEAD,RD,-,1
1/18/16,13,Theft,8C10,Other Parking Lot,10100-10199,HIRSCH,-,-,1
1/18/16,13,Theft,8C20,Residence or House,7100-7199,MILEY,-,-,1
1/18/16,13,Theft,8C30,Commercial Parking Lot or Garage,8200-8299,WAYSIDE,-,N,1
1/18/16,18,Theft,8C50,"Laundry, Dry Cleaners, Washaterias",8700-8799,TIDWELL,RD,-,1
1/18/16,19,Robbery,8C50,Miscellaneous Business (Non-Specific),9900-9999,MESA,DR,-,1
1/18/16,2,Burglary,8C60,Vacant Grocery Store or Supermarket,7500-7599,LITTLE YORK,RD,-,1
1/18/16,9,Aggravated Assault,8C60,"Road, Street, or Sidewalk",7200-7299,YOE,-,-,1
1/18/16,6,Theft,9C20,Convenience Store,6700-6799,LYONS,-,-,1
1/18/16,7,Burglary,9C20,Commercial Building,6900-6999,CLINTON,DR,-,1
1/18/16,3,Burglary,9C20,Restaurant or Cafeteria,600-699,LATHROP,-,-,1
1/18/16,14,Theft,9C30,Service or Gas Station,3900-3999,MCCARTY,-,N,1
1/18/16,20,Burglary,9C40,Government or Public Building,12000-12099,EAST,FWY,-,1
1/18/16,21,Robbery,9C40,Apartment Parking Lot,600-699,MAXEY,RD,-,1
1/18/16,17,Theft,UNK,"Electronics Store, Electrical Supplies",8200-8299,GESSNER,RD,N,1
1/19/16,7,Theft,10H10,Miscellaneous Business (Non-Specific),100-199,MILBY,-,-,1
1/19/16,23,Theft,10H40,"Road, Street, or Sidewalk",3500-3599,TRAVIS,-,-,1
1/19/16,10,Theft,10H40,"Church, Synagogue, or Temple Parking Lot",3600-3699,MILAM,-,-,1
1/19/16,13,Burglary,10H50,"Multi-Plex Home (Duplex,Triplex Etc.)",2700-2799,TRUXILLO,-,-,1
1/19/16,8,Theft,10H70,Hospital Parking Lot,1900-1999,HOLCOMBE,BLVD,-,1
1/19/16,13,Theft,10H70,Hospital,6400-6499,FANNIN,ST,-,1
1/19/16,19,Theft,10H70,"Hotel, Motel, Inn, Etc.",3100-3199,OLD SPANISH,TRL,-,1
1/19/16,21,Theft,10H80,Other Parking Lot,2500-2599,TIMES,BLVD,-,1
1/19/16,9,Theft,10H80,"Road, Street, or Sidewalk",1700-1799,BANKS,ST,-,1
1/19/16,22,Theft,11H10,Grocery Store or Supermarket,2300-2399,WAYSIDE,-,S,1
1/19/16,19,Robbery,11H10,"Road, Street, or Sidewalk",5500-5599,NEWPORT,-,-,1
1/19/16,17,Theft,11H10,Residence or House,2200-2299,MARLO,-,-,1
1/19/16,17,Theft,11H10,Grocery Store or Supermarket,2300-2399,WAYSIDE,-,S,1
1/19/16,13,Theft,11H10,Residence or House,6900-6999,AVENUE O,-,-,1
1/19/16,17,Theft,11H20,Other Parking Lot,1000-1099,EVERGREEN,DR,-,1
1/19/16,0,Auto Theft,11H30,Apartment Parking Lot,2800-2899,BROADWAY,ST,-,1
1/19/16,17,Theft,11H30,Service or Gas Station,8000-8099,LOOP,-,S,1
1/19/16,19,Theft,11H30,Apartment Parking Lot,8500-8599,WINKLER,DR,-,1
1/19/16,22,Theft,11H30,Convenience Store,8000-8099,LOOP,-,S,1
1/19/16,3,Burglary,11H50,Convenience Store,4900-4999,ALLENDALE,RD,-,1
1/19/16,20,Theft,12D10,Department or Discount Store,9500-9599,ROWLETT,-,-,1
1/19/16,16,Theft,12D10,Apartment Laundry,10100-10199,WINDMILL LAKES,BLVD,-,1
1/19/16,17,Aggravated Assault,12D10,Residence or House,10100-10199,VICTORIA FALLS,LN,-,1
1/19/16,14,Theft,12D10,Other Parking Lot,8600-8699,TAVENOR,LN,-,1
1/19/16,14,Theft,12D10,Other Parking Lot,8700-8799,ALMEDA GENOA,RD,-,1
1/19/16,15,Auto Theft,12D10,Vehicle/Auto Sales/Lease/Auto Parts Store,8100-8199,MONROE,RD,-,2
1/19/16,7,Theft,12D10,Apartment Parking Lot,10900-10999,GULF,FWY,-,1
1/19/16,10,Theft,12D10,"Church, Synagogue, or Temple Parking Lot",9900-9999,WINDMILL LAKES,BLVD,-,1
1/19/16,11,Theft,12D10,Vehicle/Auto Sales/Lease/Auto Parts Store,8600-8699,PANAIR,-,-,1
1/19/16,0,Theft,12D20,Other Parking Lot,11800-11899,SAM HOUSTON,PKWY,S,1
1/19/16,13,Theft,12D20,Residence or House,11000-11099,SAGELEAF,LN,-,1
1/19/16,18,Burglary,12D20,Residence or House,9500-9599,MISTY VALE,LN,-,1
1/19/16,5,Theft,12D40,Driveway,11800-11899,FLUSHING MEADOWS,ST,-,1
1/19/16,20,Burglary,12D50,Residence or House,14200-14299,HEATHER FALLS,WAY,-,1
1/19/16,21,Burglary,12D50,Residence or House,14400-14499,HILLSIDE HICKORY,CT,-,1
1/19/16,11,Theft,12D70,Residence or House,400-499,CAPEHILL,-,-,1
1/19/16,11,Theft,13D10,Bus Station,3200-3299,TELEPHONE,-,-,1
1/19/16,3,Burglary,13D10,Service or Gas Station,6800-6899,LONG,DR,-,1
1/19/16,7,Auto Theft,13D10,"Road, Street, or Sidewalk",3500-3599,PENWOOD,WAY,-,1
1/19/16,19,Aggravated Assault,13D10,Driveway,4100-4199,SUE ELLEN,-,-,1
1/19/16,19,Theft,13D10,Grocery Store or Supermarket Parking Lot,3300-3399,TELEPHONE,-,-,1
1/19/16,15,Burglary,13D10,Residence or House,2400-2499,LIDSTONE,-,-,1
1/19/16,14,Theft,13D10,Restaurant or Cafeteria Parking Lot,6000-6099,GULF,FWY,-,1
1/19/16,14,Theft,13D10,Other Parking Lot,6600-6699,LONG,DR,-,1
1/19/16,14,Theft,13D20,Restaurant or Cafeteria Parking Lot,8400-8499,GULF,FWY,-,1
1/19/16,13,Burglary,13D20,Apartment,7900-7999,MORLEY,-,-,1
1/19/16,14,Burglary,13D20,Miscellaneous Business (Non-Specific),6300-6399,TELEPHONE,-,-,1
1/19/16,13,Theft,13D20,Restaurant or Cafeteria Parking Lot,8400-8499,GULF,FWY,-,1
1/19/16,17,Aggravated Assault,13D20,Residence or House,7300-7399,BROCKLEY,LN,-,1
1/19/16,22,Theft,13D20,Residence or House,7700-7799,EL RANCHO,ST,-,1
1/19/16,21,Auto Theft,13D20,Driveway,8500-8599,CAYTON,ST,-,1
1/19/16,23,Theft,13D20,Residence or House,7500-7599,WILMERDEAN,-,-,1
1/19/16,4,Robbery,13D20,Other Parking Lot,8400-8499,GULF,FWY,-,1
1/19/16,10,Theft,13D20,Hotel or Motel Parking Lot,8600-8699,AIRPORT,BLVD,-,1
1/19/16,12,Aggravated Assault,13D20,Apartment,8700-8799,BROADWAY,ST,-,2
1/19/16,9,Auto Theft,13D20,Hotel or Motel Parking Lot,8700-8799,AIRPORT,BLVD,-,1
1/19/16,21,Theft,13D40,Department or Discount Store,8500-8599,SAM HOUSTON,PKWY,S,1
1/19/16,11,Burglary,13D40,Residence or House,10900-10999,BALLANTINE,ST,-,1
1/19/16,15,Burglary,13D40,Rental Storage Facility,8300-8399,SAM HOUSTON,PKWY,S,1
1/19/16,8,Burglary,13D40,Miscellaneous Business (Non-Specific),7700-7799,HALL,RD,-,1
1/19/16,7,Auto Theft,13D40,"Road, Street, or Sidewalk",8200-8299,HALL LAKE,DR,-,1
1/19/16,23,Burglary,14D20,Residence or House,4400-4499,GALESBURG,ST,-,1
1/19/16,16,Aggravated Assault,14D20,Residence or House,7300-7399,TIERWESTER,-,-,1
1/19/16,14,Theft,14D20,Apartment Parking Lot,2800-2899,REED,RD,-,1
1/19/16,17,Burglary,14D20,Residence or House,4500-4599,PHLOX,-,-,1
1/19/16,18,Burglary,14D20,Residence or House,4800-4899,ANGLETON,ST,-,1
1/19/16,9,Murder,14D20,"Field, Woods, Forest, Park",4100-4199,HOLMES,RD,-,1
1/19/16,12,Aggravated Assault,14D20,Residence or House,4700-4799,WILMINGTON,ST,-,1
1/19/16,10,Burglary,14D20,Residence or House,5000-5099,HIGGINS,-,-,1
1/19/16,0,Aggravated Assault,14D30,Highway or Freeway,5800-5899,LOOP,-,S,1
1/19/16,18,Theft,14D30,Convenience Store,6400-6499,MYKAWA,-,-,1
1/19/16,21,Aggravated Assault,14D40,Residence or House,11300-11399,ROCKFORD,DR,-,1
1/19/16,19,Theft,14D50,Bar or Night Club Parking Lot,4600-4699,ALMEDA GENOA,RD,-,1
1/19/16,11,Burglary,14D50,Residence or House,6100-6199,PERTH,-,-,1
1/19/16,12,Theft,14D50,Bar or Night Club Parking Lot,4600-4699,ALMEDA GENOA,RD,-,1
1/19/16,15,Theft,1.50E+11,Apartment,8800-8899,BRAESMONT,DR,-,1
1/19/16,15,Robbery,1.50E+11,"Road, Street, or Sidewalk",8700-8799,ATWELL,DR,-,1
1/19/16,18,Theft,1.50E+11,Convenience Store,9100-9199,HILLCROFT,-,-,1
1/19/16,11,Theft,1.50E+11,Department or Discount Store,500-599,MEYERLAND PLAZA,-,-,1
1/19/16,9,Theft,1.50E+21,Driveway,5600-5699,ARBOLES,DR,-,1
1/19/16,22,Auto Theft,1.50E+21,Driveway,6000-6099,EFFINGHAM,DR,-,2
1/19/16,12,Theft,1.50E+31,Restaurant or Cafeteria Parking Lot,3200-3299,LOOP,-,S,1
1/19/16,13,Theft,1.50E+41,Construction Site,9600-9699,MAIN,ST,-,1
1/19/16,19,Theft,1.50E+41,Apartment Parking Lot,1300-1399,OLD SPANISH,TRL,-,1
1/19/16,19,Theft,1.50E+41,Drug Store or Medical Supply,9700-9799,BUFFALO SPEEDWAY,-,-,1
1/19/16,12,Burglary,1.60E+11,Residence or House,2000-2099,MIDNIGHT,LN,-,1
