Date,Hour,Offense_Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,Number_offenses
1/1/16,8,Theft,1.60E+41,Driveway,16600-16699,HOLLOW RIDGE,RD,-,1
1/1/16,10,Burglary,1.60E+41,Residence or House,6100-6199,ARTHINGTON,AVE,-,1
1/1/16,7,Auto Theft,1.60E+41,Driveway,7000-7099,ROBERSON,RD,-,1
1/1/16,8,Auto Theft,1.70E+11,"Road, Street, or Sidewalk",6400-6499,BELLAIRE,BLVD,-,1
1/1/16,15,Burglary,1.70E+11,Apartment,7100-7199,HILLCROFT,-,-,1
1/1/16,15,Auto Theft,1.70E+11,Apartment Parking Lot,7100-7199,HILLCROFT,-,-,1
1/1/16,21,Burglary,1.70E+11,Apartment,6000-6099,GULFTON,-,-,1
1/1/16,8,Robbery,1.70E+21,"Road, Street, or Sidewalk",7600-7699,BEECHNUT,ST,-,1
1/1/16,6,Theft,1.70E+21,Hospital,7600-7699,BEECHNUT,ST,-,1
1/1/16,8,Theft,1.70E+21,Airport Terminal,6700-6799,SHARPCREST,-,-,1
1/1/16,13,Theft,1.70E+21,Apartment Parking Lot,6800-6899,BISSONNET,ST,-,1
1/1/16,9,Robbery,1.70E+31,Convenience Store,10900-10999,SAM HOUSTON,PKWY,S,1
1/1/16,5,Aggravated Assault,1.70E+31,Restaurant or Cafeteria,8600-8699,SOUTHWEST,FWY,-,1
1/1/16,2,Aggravated Assault,1.70E+31,Apartment,11500-11599,KEEGANS RIDGE,RD,-,1
1/1/16,0,Auto Theft,1.70E+31,Apartment Parking Lot,11500-11599,KEEGANS RIDGE,RD,-,1
1/1/16,21,Theft,1.70E+41,Apartment Parking Lot,11900-11999,BOB WHITE,DR,-,1
1/1/16,21,Theft,18F10,Drug Store or Medical Supply,8200-8299,KATY,FWY,-,1
1/1/16,21,Auto Theft,18F20,Residence or House,5400-5499,BEVERLYHILL,ST,-,1
1/1/16,14,Burglary,18F20,Rental Storage Facility,1700-1799,SKY LARK,LN,-,1
1/1/16,13,Theft,18F20,Department or Discount Store,5000-5099,WESTHEIMER,RD,-,1
1/1/16,6,Burglary,18F30,Barber And Beauty Shops,3300-3399,HILLCROFT,-,-,1
1/1/16,1,Auto Theft,18F30,Bar or Night Club Parking Lot,2700-2799,FOUNTAIN VIEW,DR,-,1
1/1/16,3,Aggravated Assault,18F30,Apartment,2700-2799,BRIARGROVE,DR,-,1
1/1/16,6,Theft,18F30,Other Parking Lot,5800-5899,SCHUMACHER,LN,-,1
1/1/16,16,Auto Theft,18F30,Apartment Parking Lot,1900-1999,AUGUSTA,DR,-,1
1/1/16,15,Theft,18F40,Restaurant or Cafeteria Parking Lot,6400-6499,WESTHEIMER,RD,-,1
1/1/16,22,Theft,18F40,Restaurant or Cafeteria Parking Lot,8400-8499,WESTHEIMER,RD,-,1
1/1/16,23,Theft,18F40,Convenience Store,6500-6599,WESTHEIMER,RD,-,1
