Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
5/19/16,6,Theft,20G30,Restaurant or Cafeteria Parking Lot,12100-12199,WESTHEIMER,RD,-,1
5/18/16,15,Robbery,20G30,Grocery Store or Supermarket Parking Lot,11100-11199,WESTHEIMER,RD,-,1
5/18/16,15,Theft,20G30,Department or Discount Store,2700-2799,KIRKWOOD,DR,S,1
5/18/16,16,Theft,20G30,Drug Store or Medical Supply,12500-12599,WESTHEIMER,RD,-,1
5/18/16,12,Theft,20G30,Miscellaneous Business (Non-Specific),12300-12399,WESTHEIMER,RD,-,1
5/18/16,3,Robbery,20G30,"Road, Street, or Sidewalk",2700-2799,SHADOWBRIAR,DR,-,1
5/18/16,2,Theft,20G30,Bar or Night Club,11400-11499,WESTHEIMER,RD,-,1
5/17/16,16,Theft,20G30,Convenience Store Parking Lot,12000-12099,WESTPARK,DR,-,1
5/31/16,23,Theft,20G30,Restaurant or Cafeteria Parking Lot,11100-11199,WESTHEIMER,RD,-,1
5/31/16,19,Theft,20G30,Drug Store or Medical Supply,11000-11099,RICHMOND,AVE,-,1
5/31/16,19,Theft,20G30,Department or Discount Store,11700-11799,WESTHEIMER,RD,-,1
5/30/16,19,Theft,20G30,Commercial Building,12500-12599,WESTHEIMER,RD,-,1
5/31/16,11,Auto Theft,20G30,Apartment Parking Lot,2800-2899,DAIRY ASHFORD ROAD,-,S,1
5/28/16,20,Robbery,20G40,Restaurant or Cafeteria,2500-2599,DAIRY ASHFORD ROAD,-,S,1
5/29/16,17,Robbery,20G40,Apartment,2100-2199,BENTWORTH,DR,-,1
5/29/16,20,Theft,20G40,Apartment,2300-2399,CRESCENT PARK,DR,-,1
5/30/16,13,Robbery,20G40,Apartment Laundry,11600-11699,BRIAR FOREST,DR,-,1
5/26/16,20,Theft,20G40,Driveway,1900-1999,TALLULAH,LN,-,1
5/27/16,20,Burglary,20G40,Apartment,11600-11699,BRIAR FOREST,DR,-,1
5/27/16,18,Theft,20G40,Grocery Store or Supermarket,12500-12599,BRIAR FOREST,DR,-,1
5/27/16,17,Burglary,20G40,Apartment,2400-2499,KIRKWOOD,DR,S,1
